,CP_RMCN_mse,CP_RMCN_mae
ETTh1_336_336_0,0.0229783132672309,0.1024749651551246
ETTh1_336_336_1,0.0561848804354667,0.181225910782814
ETTh1_336_336_2,0.0237399172037839,0.1067132949829101
ETTh1_336_336_3,0.0382239073514938,0.1507345139980316
ETTh1_336_336_4,0.1820669770240783,0.3323999345302582
ETTh1_336_336_5,0.0876019150018692,0.2337669879198074
ETTh1_336_336_6,1.3135716915130615,1.0871853828430176
